family,seed,score,oscr,auroc,fpr95,fpr80
Botnet,11,closed_set_1_minus_p_benign,0.7441628210416001,0.7441801144651706,0.8153053715967623,0.34805003679175867
Botnet,11,mahalanobis,0.3357103144030872,0.33571031440308724,0.8072111846946284,0.7821927888153054
Botnet,11,cascade,0.36834559869400063,0.36836289211757106,0.8072111846946284,0.7821927888153054
Botnet,11,blended,0.5881484709587215,0.588165764382292,0.8182487122884474,0.5886681383370125
SSHBrute,11,closed_set_1_minus_p_benign,0.9986522911051213,1.0,0.0,0.0
SSHBrute,11,mahalanobis,0.9842052601486564,0.9855529690435351,0.07547169811320754,0.0215633423180593
SSHBrute,11,cascade,0.9986522911051213,1.0,0.0,0.0
SSHBrute,11,blended,0.9986446336682185,0.9999923425630972,0.0,0.0
Botnet,23,closed_set_1_minus_p_benign,0.855098814229249,0.8550988142292489,0.5367272727272727,0.20581818181818182
Botnet,23,mahalanobis,0.6797696216826652,0.6797696216826651,0.6887272727272727,0.4690909090909091
Botnet,23,cascade,0.7042827780914737,0.7042827780914738,0.6872727272727273,0.42763636363636365
Botnet,23,blended,0.8347125917560699,0.8347125917560699,0.33745454545454545,0.232
SSHBrute,23,closed_set_1_minus_p_benign,0.9392117568470273,1.0,0.0,0.0
SSHBrute,23,mahalanobis,0.9389496942603155,0.999301166435435,0.004008016032064128,0.0
SSHBrute,23,cascade,0.9392117568470273,1.0,0.0,0.0
SSHBrute,23,blended,0.9392117568470274,1.0,0.0,0.0
Botnet,37,closed_set_1_minus_p_benign,0.9674288225709631,0.967428822570963,0.246301775147929,0.0007396449704142012
Botnet,37,mahalanobis,0.7953461324071692,0.7953461324071691,0.6545857988165681,0.4970414201183432
Botnet,37,cascade,0.8487166981105109,0.8487166981105108,0.606508875739645,0.3202662721893491
Botnet,37,blended,0.9385205849984278,0.9385205849984277,0.29511834319526625,0.05917159763313609
SSHBrute,37,closed_set_1_minus_p_benign,0.997269624573379,1.0,0.0,0.0
SSHBrute,37,mahalanobis,0.9924201518007235,0.9947430085069533,0.04505119453924915,0.00955631399317406
SSHBrute,37,cascade,0.997269624573379,1.0,0.0,0.0
SSHBrute,37,blended,0.9972135907493251,0.9999439661759462,0.0,0.0
