family,seed,recon,closed_macro_f1,edge_macro_f1,score,oscr,auroc,fpr95
Botnet,11,False,0.3865641901508682,0.4534220532319392,closed_set_1_minus_p_benign,0.7505025901225152,0.7505198835460857,0.8329654157468727
Botnet,11,False,0.3865641901508682,0.4534220532319392,mahalanobis,0.3828876385743648,0.3828885032455433,0.797645327446652
Botnet,11,False,0.3865641901508682,0.4534220532319392,cascade,0.41560852531195175,0.4156258187355222,0.797645327446652
Botnet,11,False,0.3865641901508682,0.4534220532319392,blended,0.6153942597939144,0.6154115532174846,0.7711552612214864
Botnet,11,True,0.44306688417618273,0.45260938323668953,closed_set_1_minus_p_benign,0.9761056766527542,0.9761368048151808,0.22148638704930096
Botnet,11,True,0.44306688417618273,0.45260938323668953,mahalanobis,0.9346585283815344,0.9347968757700977,0.2487122884473878
Botnet,11,True,0.44306688417618273,0.45260938323668953,cascade,0.9646366781408532,0.96466780630328,0.19646799116997793
Botnet,11,True,0.44306688417618273,0.45260938323668953,blended,0.9771519287787643,0.977183056941191,0.11037527593818984
SSHBrute,11,False,0.5,0.5,closed_set_1_minus_p_benign,1.0,1.0,0.0
SSHBrute,11,False,0.5,0.5,mahalanobis,0.985900106183125,0.9859001061831251,0.06805929919137467
SSHBrute,11,False,0.5,0.5,cascade,1.0,1.0,0.0
SSHBrute,11,False,0.5,0.5,blended,1.0,1.0,0.0
SSHBrute,11,True,0.4785664089950808,0.5,closed_set_1_minus_p_benign,0.917789757412399,1.0,0.0
SSHBrute,11,True,0.4785664089950808,0.5,mahalanobis,0.9167789757412399,0.9987850200114351,0.0
SSHBrute,11,True,0.4785664089950808,0.5,cascade,0.917789757412399,1.0,0.0
SSHBrute,11,True,0.4785664089950808,0.5,blended,0.917789757412399,1.0,0.0
Botnet,23,False,0.39229671897289586,0.4531118587047939,closed_set_1_minus_p_benign,0.8545490683229814,0.8545490683229814,0.5447272727272727
Botnet,23,False,0.39229671897289586,0.4531118587047939,mahalanobis,0.680891699604743,0.680891699604743,0.6792727272727273
Botnet,23,False,0.39229671897289586,0.4531118587047939,cascade,0.7077854319593451,0.7077854319593451,0.6792727272727273
Botnet,23,False,0.39229671897289586,0.4531118587047939,blended,0.8359064935064935,0.8359064935064934,0.3367272727272727
Botnet,23,True,0.38923512747875355,0.45325481123146494,closed_set_1_minus_p_benign,0.7249721061547147,0.724977526821005,0.5010909090909091
Botnet,23,True,0.38923512747875355,0.45325481123146494,mahalanobis,0.7101036702428007,0.7101072840203274,0.6138181818181818
Botnet,23,True,0.38923512747875355,0.45325481123146494,cascade,0.7172490118577075,0.7172544325239978,0.5949090909090909
Botnet,23,True,0.38923512747875355,0.45325481123146494,blended,0.7966107284020327,0.796616149068323,0.6261818181818182
SSHBrute,23,False,0.4659293613985016,0.5,closed_set_1_minus_p_benign,0.8724114896459586,1.0,0.0
SSHBrute,23,False,0.4659293613985016,0.5,mahalanobis,0.8724114896459585,0.9664919582755254,0.05143620574482298
SSHBrute,23,False,0.4659293613985016,0.5,cascade,0.8724114896459587,1.0,0.0
SSHBrute,23,False,0.4659293613985016,0.5,blended,0.8724114896459585,1.0,0.0
SSHBrute,23,True,0.48925281473899696,0.5,closed_set_1_minus_p_benign,0.9579158316633267,1.0,0.0
SSHBrute,23,True,0.48925281473899696,0.5,mahalanobis,0.957592107291506,0.9996762756281794,0.0
SSHBrute,23,True,0.48925281473899696,0.5,cascade,0.9579158316633266,1.0,0.0
SSHBrute,23,True,0.48925281473899696,0.5,blended,0.9579158316633266,1.0,0.0
Botnet,37,False,0.41006976038823173,0.45292327070431404,closed_set_1_minus_p_benign,0.9643407154903811,0.964340715490381,0.28032544378698226
Botnet,37,False,0.41006976038823173,0.45292327070431404,mahalanobis,0.8446013063487979,0.844601306348798,0.5983727810650887
Botnet,37,False,0.41006976038823173,0.45292327070431404,cascade,0.8825509890518253,0.882550989051825,0.4977810650887574
Botnet,37,False,0.41006976038823173,0.45292327070431404,blended,0.9489292120458509,0.9489292120458508,0.29511834319526625
Botnet,37,True,0.3901875901875902,0.45292327070431404,closed_set_1_minus_p_benign,0.9647096446845611,0.9647096446845611,0.02440828402366864
Botnet,37,True,0.3901875901875902,0.45292327070431404,mahalanobis,0.9278354843781266,0.9278354843781265,0.36020710059171596
Botnet,37,True,0.3901875901875902,0.45292327070431404,cascade,0.9299445444930395,0.9299445444930394,0.36020710059171596
Botnet,37,True,0.3901875901875902,0.45292327070431404,blended,0.9639829524340394,0.9639829524340393,0.07248520710059171
SSHBrute,37,False,0.49880260006842286,0.5,closed_set_1_minus_p_benign,0.9952218430034127,1.0,0.0
SSHBrute,37,False,0.49880260006842286,0.5,mahalanobis,0.9931791554174518,0.9978707146859559,0.018430034129692834
SSHBrute,37,False,0.49880260006842286,0.5,cascade,0.9952218430034128,1.0,0.0
SSHBrute,37,False,0.49880260006842286,0.5,blended,0.9952218430034128,1.0,0.0
SSHBrute,37,True,0.49167244968771684,0.5,closed_set_1_minus_p_benign,0.967235494880546,0.9999949060159952,0.0
SSHBrute,37,True,0.49167244968771684,0.5,mahalanobis,0.9452549538994447,0.977494778666395,0.07098976109215017
SSHBrute,37,True,0.49167244968771684,0.5,cascade,0.9672354948805459,0.9999949060159952,0.0
SSHBrute,37,True,0.49167244968771684,0.5,blended,0.9672354948805463,0.999994906015995,0.0
