Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.3-192.168.10.5-53-55466-17,192.168.10.5,55466,192.168.10.3,53,17,4/7/2017 10:10,48312,4,2,116,90,29,29,29,0,45,45,45,0,4263.950985,124.1927471,9662.4,14558.67857,32755,3,32761,10920.33333,18909.37602,32755,3,3,3,0,3,3,0,0,0,0,80,40,82.79516476,41.39758238,29,45,33.57142857,7.807200584,60.95238095,0,0,0,0,0,0,0,0,0,39.16666667,29,45,80,0,0,0,0,0,0,4,116,2,90,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-50428-17,192.168.10.14,50428,192.168.10.3,53,17,4/7/2017 10:10,261,2,2,140,396,70,70,70,0,198,198,198,0,2053639.847,15325.6705,87,144.6271067,254,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,7662.835249,7662.835249,70,198,121.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,151.5,70,198,64,0,0,0,0,0,0,2,140,2,396,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.14-50.63.243.230-51719-80-6,50.63.243.230,80,192.168.10.14,51719,6,4/7/2017 10:10,182,1,1,0,0,0,0,0,0,0,0,0,0,0,10989.01099,182,0,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5494.505495,5494.505495,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,229,256,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.16-104.25.65.8-34954-80-6,192.168.10.16,34954,104.25.65.8,80,6,4/7/2017 10:10,15006,1,1,0,0,0,0,0,0,0,0,0,0,0,133.2800213,15006,0,15006,15006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,66.64001066,66.64001066,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,274,30,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-57710-17,192.168.10.14,57710,192.168.10.3,53,17,4/7/2017 10:10,207,2,2,116,180,58,58,58,0,90,90,90,0,1429951.691,19323.6715,69,76.29547824,153,4,50,50,0,50,50,4,4,0,4,4,0,0,0,0,40,40,9661.835749,9661.835749,58,90,70.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,88.5,58,90,40,0,0,0,0,0,0,2,116,2,180,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-63127-17,192.168.10.15,63127,192.168.10.3,53,17,4/7/2017 10:10,61348,4,2,144,104,36,36,36,0,52,52,52,0,4042.511573,97.80269935,12269.6,16799.33659,30900,1,30445,10148.33333,17575.69689,30443,1,3,3,0,3,3,0,0,0,0,80,40,65.20179957,32.60089978,36,52,40.57142857,7.807200584,60.95238095,0,0,0,0,0,0,0,0,0,47.33333333,36,52,80,0,0,0,0,0,0,4,144,2,104,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.15-23.15.4.17-52313-80-6,192.168.10.15,52313,23.15.4.17,80,6,4/7/2017 10:10,82766683,133,190,3575,348903,388,0,26.87969925,89.92741497,4380,0,1836.331579,845.2159553,4258.694286,3.902536483,257039.3882,1492395.079,1.00E+07,0,8.28E+07,627020.3258,2287765.151,1.00E+07,1,8.02E+07,424138.2381,1926859.913,1.00E+07,47,0,0,0,0,2672,3896,1.606926787,2.295609696,0,4380,1087.895062,1103.64693,1218036.546,0,0,0,1,0,0,0,0,1,1091.263158,26.87969925,1836.331579,2672,0,0,0,0,0,0,133,3575,190,348903,8192,1281,18,20,1450945.571,3350969.828,9030009,15018,1.00E+07,663.7967632,1.00E+07,9999679,BENIGN
192.168.10.5-52.84.64.93-53395-443-6,52.84.64.93,443,192.168.10.5,53395,6,4/7/2017 10:10,67,1,1,0,0,0,0,0,0,0,0,0,0,0,29850.74627,67,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,14925.37313,14925.37313,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,119,255,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.16-53-47177-17,192.168.10.16,47177,192.168.10.3,53,17,4/7/2017 10:10,197,2,2,84,204,42,42,42,0,102,102,102,0,1461928.934,20304.56853,65.66666667,107.6769861,190,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,40,10152.28426,10152.28426,42,102,66,32.86335345,1080,0,0,0,0,0,0,0,0,1,82.5,42,102,40,0,0,0,0,0,0,2,84,2,204,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.16-53-15927-17,192.168.10.16,15927,192.168.10.3,53,17,4/7/2017 10:10,156542,2,2,82,362,41,41,41,0,181,181,181,0,2836.299523,25.55224796,52180.66667,90376.10174,156538,1,1,1,0,1,1,3,3,0,3,3,0,0,0,0,40,40,12.77612398,12.77612398,41,181,97,76.68115805,5880,0,0,0,0,0,0,0,0,1,121.25,41,181,40,0,0,0,0,0,0,2,82,2,362,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
