dataset,min_flows,windows,attack_windows,alerted,tp,fp,fn,tn,precision,recall,fpr,f1
test,1,265,80,34,26,8,54,177,0.7647058823529411,0.325,0.043243243243243246,0.456140350877193
test,2,265,80,27,25,2,55,183,0.9259259259259259,0.3125,0.010810810810810811,0.4672897196261682
test,3,265,80,27,25,2,55,183,0.9259259259259259,0.3125,0.010810810810810811,0.4672897196261682
test,5,265,80,25,25,0,55,185,1.0,0.3125,0.0,0.47619047619047616
test,10,265,80,25,25,0,55,185,1.0,0.3125,0.0,0.47619047619047616
test,25,265,80,24,24,0,56,185,1.0,0.3,0.0,0.4615384615384615
test,50,265,80,24,24,0,56,185,1.0,0.3,0.0,0.4615384615384615
test,100,265,80,14,14,0,66,185,1.0,0.175,0.0,0.2978723404255319
monday,1,486,0,1,0,1,0,485,0.0,,0.00205761316872428,0.0
monday,2,486,0,0,0,0,0,486,,,0.0,0.0
monday,3,486,0,0,0,0,0,486,,,0.0,0.0
monday,5,486,0,0,0,0,0,486,,,0.0,0.0
monday,10,486,0,0,0,0,0,486,,,0.0,0.0
monday,25,486,0,0,0,0,0,486,,,0.0,0.0
monday,50,486,0,0,0,0,0,486,,,0.0,0.0
monday,100,486,0,0,0,0,0,486,,,0.0,0.0
thursday,1,485,96,86,72,14,24,375,0.8372093023255814,0.75,0.03598971722365039,0.7912087912087912
thursday,2,485,96,81,67,14,29,375,0.8271604938271605,0.6979166666666666,0.03598971722365039,0.7570621468926554
thursday,3,485,96,79,67,12,29,377,0.8481012658227848,0.6979166666666666,0.030848329048843187,0.7657142857142857
thursday,5,485,96,77,67,10,29,379,0.8701298701298701,0.6979166666666666,0.02570694087403599,0.7745664739884393
thursday,10,485,96,76,66,10,30,379,0.868421052631579,0.6875,0.02570694087403599,0.7674418604651162
thursday,25,485,96,73,63,10,33,379,0.863013698630137,0.65625,0.02570694087403599,0.7455621301775148
thursday,50,485,96,21,11,10,85,379,0.5238095238095238,0.11458333333333333,0.02570694087403599,0.18803418803418803
thursday,100,485,96,21,11,10,85,379,0.5238095238095238,0.11458333333333333,0.02570694087403599,0.18803418803418803
shuffled,1,265,80,30,26,4,54,181,0.8666666666666667,0.325,0.021621621621621623,0.4727272727272728
shuffled,2,265,80,28,25,3,55,182,0.8928571428571429,0.3125,0.016216216216216217,0.462962962962963
shuffled,3,265,80,28,25,3,55,182,0.8928571428571429,0.3125,0.016216216216216217,0.462962962962963
shuffled,5,265,80,25,25,0,55,185,1.0,0.3125,0.0,0.47619047619047616
shuffled,10,265,80,25,25,0,55,185,1.0,0.3125,0.0,0.47619047619047616
shuffled,25,265,80,24,24,0,56,185,1.0,0.3,0.0,0.4615384615384615
shuffled,50,265,80,24,24,0,56,185,1.0,0.3,0.0,0.4615384615384615
shuffled,100,265,80,14,14,0,66,185,1.0,0.175,0.0,0.2978723404255319
